tconst,primaryTitle_norm,primaryTitle,startYear
tt0120667,fantastic four,Fantastic Four,2005
tt0121164,corpse bride,Corpse Bride,2005
tt0121766,star wars episode iii revenge of the sith,Star Wars: Episode III - Revenge of the Sith,2005
tt0200465,the bank job,The Bank Job,2008
tt0206634,children of men,Children of Men,2006
tt0211933,awake,Awake,2007
tt0257516,cursed,Cursed,2005
tt0259324,ghost rider,Ghost Rider,2007
tt0267891,the ringer,The Ringer,2005
tt0292963,before the devil knows youre dead,Before the Devil Knows You're Dead,2007
tt0293564,rush hour 3,Rush Hour 3,2007
tt0294870,rent,Rent,2005
tt0310243,tracks,Tracks,2005
tt0318081,a sound of thunder,A Sound of Thunder,2005
tt0318761,thumbsucker,Thumbsucker,2005
tt0320661,kingdom of heaven,Kingdom of Heaven,2005
tt0326905,the great raid,The Great Raid,2005
tt0327643,dirty love,Dirty Love,2005
tt0329774,xxx state of the union,xXx: State of the Union,2005
tt0330373,harry potter and the goblet of fire,Harry Potter and the Goblet of Fire,2005
tt0331933,man of the house,Man of the House,2005
tt0337692,on the road,On the Road,2012
tt0337978,live free or die hard,Live Free or Die Hard,2007
tt0340084,the drop,The Drop,2006
tt0342258,unleashed,Unleashed,2005
tt0342735,manderlay,Manderlay,2005
tt0343996,the lost city,The Lost City,2005
tt0348150,superman returns,Superman Returns,2006
tt0348333,waiting,Waiting...,2005
tt0350261,an unfinished life,An Unfinished Life,2005
tt0352248,cinderella man,Cinderella Man,2005
tt0355295,the brothers grimm,The Brothers Grimm,2005
tt0355702,lords of dogtown,Lords of Dogtown,2005
tt0356680,the family stone,The Family Stone,2005
tt0356910,mr mrs smith,Mr. & Mrs. Smith,2005
tt0357110,the ballad of jack and rose,The Ballad of Jack and Rose,2005
tt0357277,elektra,Elektra,2005
tt0357507,boogeyman,Boogeyman,2005
tt0358082,robots,Robots,2005
tt0358273,walk the line,Walk the Line,2005
tt0360486,constantine,Constantine,2005
tt0360717,king kong,King Kong,2005
tt0362165,son of the mask,Son of the Mask,2005
tt0362478,the box,The Box,2009
tt0362718,sisters,Sisters,2005
tt0365686,revolver,Revolver,2005
tt0365830,tenacious d in the pick of destiny,Tenacious D in the Pick of Destiny,2006
tt0365885,the upside of anger,The Upside of Anger,2005
tt0365907,a walk among the tombstones,A Walk Among the Tombstones,2014
tt0365929,whiteout,Whiteout,2009
tt0366780,mirrormask,Mirrormask,2005
tt0367089,the squid and the whale,The Squid and the Whale,2005
tt0367959,hannibal rising,Hannibal Rising,2007
tt0368222,romance cigarettes,Romance & Cigarettes,2005
tt0368375,duplicity,Duplicity,2005
tt0368578,are we there yet,Are We There Yet?,2005
tt0368709,elizabethtown,Elizabethtown,2005
tt0369226,alone in the dark,Alone in the Dark,2005
tt0369441,fun with dick and jane,Fun with Dick and Jane,2005
tt0369735,monsterinlaw,Monster-in-Law,2005
tt0371606,chicken little,Chicken Little,2005
tt0371724,the hitchhikers guide to the galaxy,The Hitchhiker's Guide to the Galaxy,2005
tt0372784,batman begins,Batman Begins,2005
